"","X","CTN","id","fixtime","fixtype","lat","lon","utmzone","utmy","utmx","alt","fixsched","hdop","nsats","fixrate","step","angle","deploy.site","date","month","Primary","Aux1","Aux2","Aux3","Code","Site","DateCapture","ID","Sex","AgeClass"
"1",1,"700516A","700516A",2018-03-22 20:00:00,"Resolved QFP",65.284997,-156.513034,"4W",7242505,616002,56,"Primary",1.2,8,4,0.689314007980154,NA,"KOY",2018-03-23,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"2",2,"700516A","700516A",2018-03-23 00:00:00,"Resolved QFP",65.278852,-156.514655,"4W",7241818,615954,88,"Primary",2.3,6,4,1.31330074404681,-2.76004004317336,"KOY",2018-03-23,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"3",3,"700516A","700516A",2018-03-23 04:00:00,"Resolved QFP",65.290199,-156.522204,"4W",7243068,615552,46,"Primary",1.8,6,4,1.61879790363723,3.03741111112413,"KOY",2018-03-23,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"4",4,"700516A","700516A",2018-03-23 08:00:00,"Resolved QFP",65.275883,-156.516428,"4W",7241484,615884,88,"Primary",1.3,8,4,0.090563721325899,-2.33723001425806,"KOY",2018-03-23,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"5",5,"700516A","700516A",2018-03-23 12:00:00,"Resolved QFP",65.276341,-156.51803,"4W",7241532,615807,127,"Primary",2.9,6,4,0.15320247025902,1.89106569230078,"KOY",2018-03-23,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"6",6,"700516A","700516A",2018-03-23 16:00:00,"Resolved QFP",65.27502,-156.518933,"4W",7241383,615771,105,"Primary",1.2,7,4,0.0396078900238159,-1.10799574417098,"KOY",2018-03-24,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"7",7,"700516A","700516A",2018-03-23 20:00:00,"Unresolved QFP",65.274955,-156.519767,"4W",7241374,615732,-7,"Primary",25.5,4,4,0.0950531279065854,2.44784756561433,"KOY",2018-03-24,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"8",8,"700516A","700516A",2018-03-24 00:00:00,"Resolved QFP",65.274539,-156.51799,"4W",7241331,615817,47,"Primary",1.2,8,4,4.17039783220869,2.40819515263932,"KOY",2018-03-24,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"9",9,"700516A","700516A",2018-03-24 04:00:00,"Resolved QFP",65.30995,-156.546774,"4W",7245223,614321,101,"Primary",3.3,5,4,1.71198815774356,1.33114439950664,"KOY",2018-03-24,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"10",10,"700516A","700516A",2018-03-24 08:00:00,"Resolved QFP",65.308596,-156.583346,"4W",7245006,612623,118,"Primary",1.3,7,4,1.33191586623577,-1.04306853806036,"KOY",2018-03-24,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"11",11,"700516A","700516A",2018-03-24 12:00:00,"Resolved QFP",65.318347,-156.599849,"4W",7246063,611813,85,"Primary",1.5,7,4,0.802276298748097,0.399393777626973,"KOY",2018-03-24,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"12",12,"700516A","700516A",2018-03-24 16:00:00,"Resolved QFP",65.322142,-156.614473,"4W",7246460,611116,81,"Primary",1.1,7,4,NA,NA,"KOY",2018-03-25,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"13",13,"700516A","700516A",2018-03-25 00:00:00,"Resolved QFP",65.32285,-156.60988,"4W",7246547,611327,88,"Primary",1.8,6,4,0.908683347982034,NA,"KOY",2018-03-25,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"14",14,"700516A","700516A",2018-03-25 04:00:00,"Resolved QFP",65.315541,-156.601256,"4W",7245748,611759,84,"Primary",1.6,7,4,0.784385585710573,-2.90693091052671,"KOY",2018-03-25,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"15",15,"700516A","700516A",2018-03-25 08:00:00,"Resolved QFP",65.320953,-156.612007,"4W",7246332,611236,103,"Primary",2.2,6,4,0.00494375833227647,2.77492087364839,"KOY",2018-03-25,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"16",16,"700516A","700516A",2018-03-25 12:00:00,"Resolved QFP",65.320911,-156.611973,"4W",7246327,611238,98,"Primary",1.2,8,4,0.0515595701087798,-0.783183961689792,"KOY",2018-03-25,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"17",17,"700516A","700516A",2018-03-25 16:00:00,"Resolved QFP",65.320496,-156.612461,"4W",7246280,611217,102,"Primary",1.1,7,4,0.289186946026123,-3.00099885948626,"KOY",2018-03-26,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"18",18,"700516A","700516A",2018-03-25 20:00:00,"Resolved QFP",65.322961,-156.610531,"4W",7246558,611296,106,"Primary",1.2,8,4,0.240710151038718,-0.325732271167072,"KOY",2018-03-26,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"19",19,"700516A","700516A",2018-03-26 00:00:00,"Resolved QFP",65.32469,-156.607438,"4W",7246756,611433,100,"Primary",0.7,12,4,0.632433034967974,-2.40346657258669,"KOY",2018-03-26,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"20",20,"700516A","700516A",2018-03-26 04:00:00,"Resolved QFP",65.319044,-156.606136,"4W",7246129,611517,104,"Primary",1.7,6,4,0.133282593214555,-2.05017480074156,"KOY",2018-03-26,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"21",21,"700516A","700516A",2018-03-26 08:00:00,"Resolved QFP",65.319491,-156.608788,"4W",7246175,611392,87,"Primary",2.1,7,4,0.647260311372356,2.07029404077153,"KOY",2018-03-26,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"22",22,"700516A","700516A",2018-03-26 12:00:00,"Resolved QFP",65.313725,-156.607178,"4W",7245535,611491,147,"Primary",1.4,9,4,0.437378578506581,2.56826984839832,"KOY",2018-03-26,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"23",23,"700516A","700516A",2018-03-26 16:00:00,"Resolved QFP",65.317245,-156.603037,"4W",7245935,611669,95,"Primary",2,7,4,0.308739728935896,1.13885599133935,"KOY",2018-03-27,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"24",24,"700516A","700516A",2018-03-26 20:00:00,"Resolved QFP",65.319395,-156.607211,"4W",7246167,611466,111,"Primary",0.9,8,4,0.256536165533518,-2.23599777667432,"KOY",2018-03-27,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"25",25,"700516A","700516A",2018-03-27 00:00:00,"Resolved QFP",65.319433,-156.601708,"4W",7246181,611722,86,"Primary",1.5,6,4,0.281433535577343,-1.59729481750845,"KOY",2018-03-27,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"26",26,"700516A","700516A",2018-03-27 04:00:00,"Resolved QFP",65.316909,-156.601768,"4W",7245899,611730,86,"Primary",1.9,6,4,1.02767446286416,1.1918615803305,"KOY",2018-03-27,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"27",27,"700516A","700516A",2018-03-27 08:00:00,"Resolved QFP",65.313413,-156.581371,"4W",7245546,612695,97,"Primary",3.3,6,4,0.00309802835042238,2.41128420432587,"KOY",2018-03-27,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"28",28,"700516A","700516A",2018-03-27 12:00:00,"Resolved QFP",65.313438,-156.5814,"4W",7245549,612693,104,"Primary",1.5,7,4,0.914044604056605,0.735066019162328,"KOY",2018-03-27,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"29",29,"700516A","700516A",2018-03-27 16:00:00,"Resolved QFP",65.316509,-156.599579,"4W",7245859,611833,125,"Primary",1.7,7,4,1.69499258153061,0.311802449231264,"KOY",2018-03-28,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"30",30,"700516A","700516A",2018-03-27 20:00:00,"Resolved QFP",65.317603,-156.635846,"4W",7245917,610140,70,"Primary",1,8,4,1.80027720029194,1.45050791002081,"KOY",2018-03-28,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"31",31,"700516A","700516A",2018-03-28 00:00:00,"Resolved QFP",65.301755,-156.643234,"4W",7244138,609862,80,"Primary",2.3,7,4,0.52686547793362,-2.15609764831643,"KOY",2018-03-28,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"32",32,"700516A","700516A",2018-03-28 04:00:00,"Resolved QFP",65.305071,-156.651282,"4W",7244494,609473,83,"Primary",1.9,6,4,NA,NA,"KOY",2018-03-28,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"33",33,"700516A","700516A",2018-03-28 12:00:00,"Resolved QFP",65.313477,-156.580633,"4W",7245555,612729,87,"Primary",1.6,8,4,0.839094924837687,NA,"KOY",2018-03-28,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"34",34,"700516A","700516A",2018-03-28 16:00:00,"Resolved QFP",65.317673,-156.565691,"4W",7246049,613407,109,"Primary",2.5,5,4,0.560566074840579,3.10512477813928,"KOY",2018-03-29,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
"35",35,"700516A","700516A",2018-03-28 20:00:00,"Resolved QFP",65.315023,-156.57591,"4W",7245735,612942,232,"Primary",20.1,5,4,0.447207557311705,-1.34897943603009,"KOY",2018-03-29,3,"E","H","G","F","EHGF","KOY",NA,NA,NA,NA
